family_id,variant_id,note,mode,train_corr,train_pass,test_corr,test_pass,full_CAGR,full_Sharpe,full_MDD,full_cost,cost_pct,n_trades
15,issuance_low_q20,VIABLE,rank,0.8659645495943707,False,,False,0.009542233892422036,0.1454043044944574,-0.31468712924141334,3637228.525980838,0.08503216464265952,241
15,issuance_low_qual,VIABLE,rank,0.863298587235475,False,,False,0.007048033409980725,0.12698025498538842,-0.23347840164900302,3824326.1421138546,0.0842507411992441,265
16,si_dtc_low,DEGRADED +14d lag,rank,0.5551784169371375,False,,False,-0.11926238760715202,0.028015996832742463,-0.6586524055545516,3215256.17562166,0.08884421466113247,335
16,si_dtc_high,DEGRADED +14d lag,rank,0.588596175438284,False,,False,-0.02045153701341329,-0.021199196567878432,-0.3759526772740029,5129294.977510341,0.13310529491077042,482
16,si_dtc_decrease,DEGRADED +14d lag,rank,0.8859642848344323,False,,False,0.06314770167509764,0.36802172908434083,-0.3769645330675705,3682717.5514213536,0.0793739348428222,320
17,near_52w_high,VIABLE,rank,0.9050870753045287,False,,False,0.00029001324690258734,0.07480069214472915,-0.29968014915908514,6306671.622439611,0.1474751150745797,647
17,far_52w_high,VIABLE,rank,0.6838986717518972,False,,False,-0.042048434764144216,0.16545497734043882,-0.6756230823702615,4081436.064846385,0.09403267518662103,197
17,near_52w_qual,VIABLE,rank,0.94116366232456,False,,False,0.024877339524282283,0.24952760876071065,-0.1894283838203338,5184692.01575197,0.10953745173832623,416
18,fscore_high,DEGRADED partial; corr risk vs S1 quality,rank,0.8754659212223472,False,,False,-0.014085966174762543,0.003726808025605486,-0.3165300852232166,6023862.533368931,0.14402698722978385,500
18,fscore_high_q20,DEGRADED,rank,0.8924248221267966,False,,False,-0.01760718235054448,0.003579651306118335,-0.36777148559057155,4903231.304348563,0.11837621808122027,387
18,fscore_high_qual,DEGRADED,rank,0.9011243182913139,False,,False,-0.037311069075505965,-0.12763218663898188,-0.34099013974543035,5514876.614932586,0.13702357673486518,467
19,distress_safe,DEGRADED Z-proxy,rank,0.7436608785484956,False,,False,0.004844082620619972,0.16116268986023863,-0.4529066254428051,2642431.14044117,0.06673476363261142,92
19,distress_risky,DEGRADED Z-proxy,rank,0.8263588768283306,False,,False,-0.011627339434243433,0.08896958821223512,-0.35821098539843127,2670210.7988136685,0.06757424692289458,124
19,distress_safe_qual,DEGRADED,rank,0.8611615634836879,False,,False,0.036477264744593674,0.2738679062439885,-0.2759192426937036,2582814.3894084767,0.05668051985840717,118
22,capex_low,VIABLE,rank,0.8228377777641874,False,,False,0.053051998148365476,0.3839058455474249,-0.267980815594379,2864979.7784040226,0.05734136321157771,117
22,capex_low_q20,VIABLE,rank,0.8228377777641874,False,,False,0.05392974508148618,0.3883962884647547,-0.2687182447166879,2867302.3936203136,0.057341951281618085,118
22,capex_low_qual,VIABLE,rank,0.7689687062526173,False,,False,0.053417750122409347,0.37991015120624116,-0.24081236030675024,2880084.5809409013,0.059620608611881336,152
23,noa_low,DEGRADED proxy,rank,0.801542253798007,False,,False,0.07538746438973853,0.4569903152071039,-0.2974740204777895,2821592.6947409553,0.05362631160205563,97
23,noa_low_q20,DEGRADED,rank,0.801542253798007,False,,False,0.07538746438973853,0.4569903152071039,-0.2974740204777895,2821592.6947409553,0.05362631160205563,97
23,noa_low_qual,DEGRADED,rank,0.7762062313001251,False,,False,0.040935036484454734,0.3061083943045922,-0.27195657574420856,2323344.0641401033,0.050699486823137824,121
25,op_margin_expand,DEGRADED (op_margin not GM),rank,0.7940824835748053,False,,False,0.06992688285505433,0.3974446384581463,-0.33720314356921627,4916982.020100938,0.10567565389368934,262
25,gp_expand,DEGRADED (GP/assets),rank,0.8001736195872946,False,,False,0.0373848152806906,0.27700372513821064,-0.22444331375887364,5176343.929914158,0.1055070226218588,279
25,op_margin_expand_qual,DEGRADED,rank,0.8199134697833464,False,,False,0.0053823482392176825,0.12385288381930581,-0.27335758510668395,4632769.5836691465,0.10726761245051038,312
26,max_low,VIABLE,rank,0.9124689821450183,False,,False,0.03087288343735306,0.35693959072868214,-0.11654324203425281,7844698.483371556,0.15463819697190762,727
26,max_low_q20,VIABLE,rank,0.9124689821450183,False,,False,0.03087288343735306,0.35693959072868214,-0.11654324203425281,7844698.483371556,0.15463819697190762,727
26,max_low_qual,VIABLE,rank,0.9591637322878788,False,,False,0.020018670273775685,0.228911542458629,-0.13133300756789568,7785999.714408801,0.15777196269797272,678
