Date,Total_Equity
2024-10-25,46013390.64774673
2024-10-28,46082353.05713281
2024-10-29,46117813.00724288
2024-10-30,45924055.119640484
2024-10-31,44962774.71104048
2024-11-01,44833958.58058548
2024-11-04,44692130.63357948
2024-11-05,45050701.211017504
2024-11-06,45737739.457318105
2024-11-07,45607200.69659191
2024-11-08,45690135.966453776
2024-11-11,45995050.866453774
2024-11-12,45675737.96885981
2024-11-13,45762847.16749439
2024-11-14,45342196.13810239
2024-11-15,45409165.39598639
2024-11-18,45613198.4713464
2024-11-19,45839915.3544964
2024-11-20,45715244.07526473
2024-11-21,46654301.56354394
2024-11-22,47307565.53854394
2024-11-25,47804146.03322898
2024-11-26,47711192.13402898
2024-11-27,47420459.06902898
2024-11-29,48015024.09752966
2024-12-02,47798729.20269605
2024-12-03,47866542.434796035
2024-12-04,47931854.28769604
2024-12-05,47686838.800835535
2024-12-06,47820417.11144143
2024-12-09,47804754.82403702
2024-12-10,47540355.011421345
2024-12-11,47740993.70142134
2024-12-12,47431835.84352134
2024-12-13,47289088.56297359
2024-12-16,47417472.120495215
2024-12-17,47126692.42326602
2024-12-18,45941367.633450985
2024-12-19,45869620.6871047
2024-12-20,46321631.30088961
2024-12-23,46303371.63206962
2024-12-24,46515505.64090433
2024-12-26,46738574.65143236
2024-12-27,46371176.168932356
2024-12-30,46118832.249936424
2024-12-31,45934065.50165209
2025-01-02,45927775.39229579
2025-01-03,46186676.27769142
2025-01-06,46103263.25600804
2025-01-07,45803944.366008036
2025-01-08,46027043.16654353
2025-01-10,45673670.50704465
2025-01-13,45828579.66459148
2025-01-14,46193532.24734989
2025-01-15,46749894.407349885
2025-01-16,46994940.54775016
2025-01-17,47219038.391680226
2025-01-21,47624418.544523135
2025-01-22,47639142.55121398
2025-01-23,47863826.91155573
2025-01-24,47924019.87157669
2025-01-27,47386140.809495635
2025-01-28,47598559.34885214
2025-01-29,47037371.44399624
2025-01-30,47271950.0573648
2025-01-31,46845386.14194906
2025-02-03,46402467.382149056
2025-02-04,46716374.92290415
2025-02-05,47165835.816279076
2025-02-06,47198175.20727907
2025-02-07,46861481.67947906
2025-02-10,46549694.38282728
2025-02-11,46381106.471753955
2025-02-12,46082176.836706735
2025-02-13,46242398.928014584
2025-02-14,46272043.24421458
2025-02-18,46527212.53140448
2025-02-19,46326191.93451097
2025-02-20,45865391.90291098
2025-02-21,44919381.594638616
2025-02-24,44828877.84230036
2025-02-25,44833135.46635881
2025-02-26,44709647.383926354
2025-02-27,44404889.03392636
2025-02-28,45085913.18760654
2025-03-03,44817361.51110829
2025-03-04,44692138.027647115
2025-03-05,44962953.84848148
2025-03-06,44467945.70701575
2025-03-07,44648218.405042544
2025-03-10,43642836.44587346
2025-03-11,43441972.13695208
2025-03-12,43309373.37479385
2025-03-13,42762117.93700442
2025-03-14,43596674.05975464
2025-03-17,43811106.417128
2025-03-18,43526598.30502831
2025-03-19,44180901.179476306
2025-03-20,43824154.683756314
2025-03-21,43881309.42022431
2025-03-24,44664598.38252431
2025-03-25,44521268.166124314
2025-03-26,44127487.36202431
2025-03-27,43891880.582924314
2025-03-28,43251129.33600786
2025-03-31,43229711.206202775
2025-04-01,43219432.026371896
2025-04-02,43484205.78350395
2025-04-03,41486987.88368803
2025-04-04,40542521.14218342
2025-04-07,40137399.0295514
2025-04-08,39714461.362398125
2025-04-09,41820866.48409015
2025-04-10,41152371.43439015
2025-04-11,41563958.21739015
2025-04-14,42011599.72279015
2025-04-15,42044044.04459015
2025-04-16,41783622.11659015
2025-04-17,41857399.09739015
2025-04-21,41377883.00416043
2025-04-22,42102590.34168361
2025-04-23,42511676.28988361
2025-04-24,42955150.87458362
2025-04-25,42774482.96568361
2025-04-28,42788942.816984616
2025-04-29,42970208.758465126
2025-04-30,42922311.677765116
2025-05-01,42890405.64025679
2025-05-02,43321732.09014388
2025-05-05,43092873.63926055
2025-05-06,42809906.93529819
2025-05-07,42763308.75243057
2025-05-08,42992127.918924935
2025-05-09,42991625.49870092
2025-05-12,43666063.27710563
2025-05-13,44009154.38510563
2025-05-14,43996992.27200563
2025-05-15,44093744.73040563
2025-05-16,44236612.42970563
