Date,Total_Equity
2024-05-03,42224129.3563904
2024-05-06,42603838.5681869
2024-05-07,42511430.58864161
2024-05-08,42363392.78984643
2024-05-09,42359634.908060774
2024-05-10,42314242.83701805
2024-05-13,42289894.951005645
2024-05-14,42387465.178279996
2024-05-15,42615185.64407551
2024-05-16,42633805.64614141
2024-05-17,42472258.95997148
2024-05-20,42608943.34703018
2024-05-21,42505619.06093457
2024-05-22,42283855.46539356
2024-05-23,42024099.27066366
2024-05-24,42318721.63540541
2024-05-28,42298009.35550309
2024-05-29,41948007.641892195
2024-05-30,41912301.62970439
2024-05-31,41946043.00502388
2024-06-03,41810613.768212944
2024-06-04,41648342.41117148
2024-06-05,42234420.94183814
2024-06-06,42094661.79827279
2024-06-07,41948942.24258572
2024-06-10,42054523.7140249
2024-06-11,42193497.681017056
2024-06-12,42542838.903031565
2024-06-13,42335953.97656739
2024-06-14,42325834.30652495
2024-06-17,42544071.223571815
2024-06-18,42587885.05042656
2024-06-20,42318511.473972306
2024-06-21,42273147.743067265
2024-06-24,42194871.49247567
2024-06-25,42072014.36576982
2024-06-26,42053991.62530492
2024-06-27,42231683.17593518
2024-06-28,42232945.87865929
2024-07-01,42113227.412594855
2024-07-02,42111051.15084567
2024-07-03,42270252.67999782
2024-07-05,42141680.62263699
2024-07-08,42332296.58295047
2024-07-09,42042932.86829834
2024-07-10,42298403.62383933
2024-07-11,42712050.811919585
2024-07-12,42943769.55613622
2024-07-15,43155117.51906942
2024-07-16,43601792.27492723
2024-07-17,43071015.08159411
2024-07-18,42774357.41321543
2024-07-19,42542232.23500569
2024-07-22,42796099.802146696
2024-07-23,42849239.010768384
2024-07-24,42459693.696299225
2024-07-25,42490494.480680525
2024-07-26,43063210.56275061
2024-07-29,42922083.077240065
2024-07-30,42733022.92776953
2024-07-31,43081088.96559839
2024-08-01,42446832.42750493
2024-08-02,41848209.16282869
2024-08-05,41349412.07970974
2024-08-06,41528435.26127676
2024-08-07,41244694.96146771
2024-08-08,42093758.10003993
2024-08-09,42224775.122899115
2024-08-12,42111182.643239215
2024-08-13,42578372.6631708
2024-08-14,42549349.87597608
2024-08-15,43089832.319448575
2024-08-16,43094645.265393265
2024-08-19,43324966.81929904
2024-08-20,43142434.4733194
2024-08-21,43386655.304781705
2024-08-22,43180766.28880678
2024-08-23,43624596.409057006
2024-08-26,43461933.0730492
2024-08-27,43490777.52699275
2024-08-28,43195035.76638886
2024-08-29,43426486.325177185
2024-08-30,43633911.746972054
2024-09-03,42685770.548388526
2024-09-04,42661230.859355904
2024-09-05,42481119.277343646
2024-09-06,41923632.08110072
2024-09-09,42067022.52937608
2024-09-10,42016590.34596108
2024-09-11,42341416.01667306
2024-09-12,42483137.93693849
2024-09-13,42789129.52437377
2024-09-16,42829251.57537374
2024-09-17,42995316.06845488
2024-09-18,42911650.57688392
2024-09-19,43527609.324379474
2024-09-20,43733057.57529457
2024-09-23,43741230.5055754
2024-09-24,43728426.486674495
2024-09-25,43477233.408156276
2024-09-26,43524668.7273839
2024-09-27,43544840.868509166
2024-09-30,43651551.64721252
2024-10-01,43279390.35179034
2024-10-02,43265688.58650844
2024-10-03,43153398.52644026
2024-10-04,43348149.86430476
2024-10-07,43185790.40931332
2024-10-08,43331720.297730654
2024-10-09,43325216.07238207
2024-10-10,43209589.15961471
2024-10-11,43658357.93310756
2024-10-14,43832024.709907025
2024-10-15,43662186.530417055
2024-10-16,43904215.7400841
2024-10-17,43860491.466673434
2024-10-18,43742599.348098956
2024-10-21,43478278.4728335
2024-10-22,43441384.56723198
2024-10-23,43073765.27694797
2024-10-24,43044487.10796957
2024-10-25,43023040.94537296
2024-10-28,43063161.31271379
2024-10-29,43237662.76509354
2024-10-30,43023976.44451346
2024-10-31,42134135.88815466
2024-11-01,41993329.94948828
2024-11-04,41992963.34842527
2024-11-05,42401684.570687555
2024-11-06,43143621.15695096
2024-11-07,43107261.806104824
2024-11-08,43110839.237746134
2024-11-11,43400391.59157522
2024-11-12,43016468.449700415
2024-11-13,42874492.6682733
2024-11-14,42693544.68367321
