symbol,entry_date,exit_date,holding_days,exit_reason,entry_rank,exit_rank,entry_cmvs,exit_cmvs,entry_rsi,exit_rsi,entry_atr,exit_atr,entry_price,exit_price,peak_return,final_return,forward_return_5d,forward_return_10d,forward_return_20d,post_exit_max_return,post_exit_max_drawdown,days_to_peak,days_to_trough,missed_upside,saved_drawdown
TSLA,2023-05-02,2023-05-03,1,ema9_break,8,8,0.21032587238486677,0.21032587238486677,37.63075999983849,37.95472614618762,7.8358116442764665,7.639682241113862,161.88,160.01,0.0,-0.011551766740795721,0.05330916817698905,0.08655709018186375,0.29691894256608986,0.29691894256608986,0.007437035185300811,20,1,0.29691894256608986,-0.007437035185300811
NVDA,2023-05-02,2023-05-05,3,ema9_break,2,2,0.5986813132088912,0.5986813132088912,60.174489384357244,61.52522806364453,0.8669807189538311,0.8764200581419708,28.68,27.83,0.0,-0.029637377963737888,0.01832554796981678,0.12324829320876773,0.40747394897592537,0.44125044915558753,0.01832554796981678,16,5,0.44125044915558753,-0.01832554796981678
PEP,2023-04-04,2023-05-17,43,ema9_break,4,3,0.45349447889222605,0.5105821174248523,66.14069200389343,58.32626781580596,2.3039587890183695,2.155511260063338,182.18,193.31,0.07651772971786142,0.06109342408606877,-0.0435569810149502,-0.057524183953235775,-0.03931508975221143,-0.007604366044177691,-0.06828410325384093,2,14,-0.007604366044177691,0.06828410325384093
MSFT,2023-05-02,2023-05-25,23,ema9_break,4,4,0.4195837216192778,0.4195837216192778,66.5664851499547,70.02015587772176,6.879842845374662,5.8674381662739155,307.76,323.24,0.043605406810501846,0.050298934234468407,0.03761910654621947,0.010982551664397988,0.01658210617497846,0.0769087984160377,0.00043311471352547315,14,8,0.0769087984160377,-0.00043311471352547315
PEP,2023-06-02,2023-06-05,3,ema9_break,11,11,0.11766107279805121,0.11766107279805121,39.70122345634708,40.240334499642366,2.397602701030518,2.409202508099765,182.02,183.85,0.011207559608834128,0.010053840237336464,-0.010606472667935796,0.007941256459069956,0.014849061735110247,0.019037258634756693,-0.0203426706554255,12,2,0.019037258634756693,0.0203426706554255
NVDA,2023-06-02,2023-06-08,6,ema9_break,2,2,0.6030491745238677,0.6030491745238677,73.56275314423283,66.8718180346437,1.6644996060918125,1.5900133603078996,40.1,37.72,0.0,-0.05935162094763102,0.13069989395546133,0.11903499469777312,0.11823966065747626,0.1614528101802759,0.027836691410392467,7,1,0.1614528101802759,-0.027836691410392467
GOOGL,2023-06-02,2023-06-08,6,ema9_break,10,10,0.3217063275379402,0.3217063275379402,69.05148278176179,57.307455139640076,2.9236001968947987,3.1604871726237067,123.99,122.23,0.026776352931688008,-0.014194693120412882,0.023398511003845268,0.0008999427309170915,-0.04728789986091797,0.023398511003845268,-0.04728789986091797,5,20,0.023398511003845268,0.04728789986091797
AMZN,2023-06-02,2023-06-08,6,ema9_break,7,7,0.4179104257006657,0.4179104257006657,71.86065414156626,64.40729267074184,3.2355217866291657,3.473056740626708,124.92,123.01,0.01352865834133854,-0.015289785462696104,0.03333062352654248,0.05137793675310953,0.03349321193398902,0.059913828144053216,0.0034143565563775624,17,1,0.059913828144053216,-0.0034143565563775624
MSFT,2023-06-02,2023-06-08,6,ema9_break,9,9,0.3316865478910447,0.3316865478910447,71.82115525099618,57.128987617880036,6.322929729930869,6.18637015869834,334.25,323.94,0.005056095736724053,-0.030845175766641697,0.07458171266283897,0.034203864913255444,0.024356362289312816,0.07458171266283897,0.008797925541767171,5,1,0.07458171266283897,-0.008797925541767171
TSLA,2023-06-02,2023-06-08,6,"exhaustion(rsi=80.3,cp=0.18)",1,1,0.6519538777925536,0.6519538777925536,76.31366201757076,83.4836621123471,8.190563913983132,8.590026445941074,210.15,224.22,0.06861765405662612,0.06695217701641676,0.14128980465614127,0.14441173847114452,0.20243510837570255,0.2598340915172599,0.07506020872357522,17,11,0.2598340915172599,-0.07506020872357522
ADBE,2023-06-02,2023-06-20,18,"exhaustion(rsi=82.1,cp=0.02)",5,5,0.5488586406545334,0.5488586406545334,78.53613366703752,75.6062205452214,12.297584454784715,16.216164712089835,432.0,485.63,0.14625,0.12414351851851846,0.007495418322591263,0.003356464798303316,0.08553837283528609,0.09595782797603114,-0.016782323991516135,19,1,0.09595782797603114,0.016782323991516135
COST,2023-06-02,2023-06-21,19,ema9_break,8,8,0.41604439685487504,0.41604439685487504,62.49816529351976,57.55834675075152,9.370889773583801,7.49721813359258,510.32,517.91,0.03695720332340491,0.0148730208496628,0.02875016894827276,0.03757409588538563,0.07539920063331484,0.07539920063331484,0.010638914097043761,20,3,0.07539920063331484,-0.010638914097043761
NFLX,2023-06-02,2023-06-22,20,ema9_break,4,4,0.5566990249598525,0.5566990249598525,72.58559771736006,63.13795399379697,1.2526218681814856,1.2176133118960002,40.29,42.29,0.10523703152146946,0.04964010920824036,0.012532513596595019,0.035942303144951504,0.010877275951761689,0.12934499881768735,-0.01655237644833285,18,2,0.12934499881768735,0.01655237644833285
GOOGL,2023-07-05,2023-07-07,2,ema9_break,11,11,0.12094449485652081,0.12094449485652081,53.30243043140733,47.140649847217865,2.8321814003538504,2.7820849829581666,119.24,120.1,0.02104998322710494,0.007212344850721308,0.04429641965029152,-0.0006661115736885659,0.06669442131557046,0.10507910074937565,-0.030391340549541956,16,1,0.10507910074937565,0.030391340549541956
AMZN,2023-07-05,2023-07-07,2,ema9_break,7,7,0.2396441692349599,0.2396441692349599,64.250192281765,60.960660397953625,3.0492237939536992,3.0316776590723222,130.24,128.59,0.0010749385749384555,-0.01266891891891897,0.047359825802939515,0.01096508282137032,0.08538766622598959,0.08538766622598959,-0.011353915545532334,20,1,0.08538766622598959,0.011353915545532334
ADBE,2023-07-05,2023-07-07,2,ema9_break,5,5,0.3398308567300847,0.3398308567300847,67.16146446273524,64.42727270575696,13.124903261881396,12.884329853356919,480.99,481.98,0.01303561404602993,0.0020582548493732755,0.06815635503547868,0.07936013942487241,0.09315739242292209,0.1392588904103904,0.02981451512510902,17,1,0.1392588904103904,-0.02981451512510902
PEP,2023-07-05,2023-07-10,5,ema9_break,6,6,0.2638753813696381,0.2638753813696381,54.65664539189957,47.401735734457866,2.3376238574467374,2.425116477700613,185.0,184.07,0.00864864864864856,-0.0050270270270270645,0.008475036670831715,0.037214103330254655,0.015320258597272707,0.040908350084207123,-0.004889444233172169,12,2,0.040908350084207123,0.004889444233172169
